Epoch,Distributed Loss,Centralized Loss,Distributed Train Loss,Distributed Train Accuracy,Distributed Test Accuracy,Centralized Test Accuracy,Fit Runtime (s),Evaluate Runtime (s),Optimizer,Learning Rate,Batch Size,Clients,Sampled Clients Per Round,Evaluate Clients Per Round,LDA Alpha,BackPack Extension,Task,Model,Date
10,0.05216010973110037,0.0535263489510864,0.12711096687661988,0.8092172777311316,0.8694915254237288,0.8439,12.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
11,0.056168837337044336,0.05134524366972037,0.12251600281435421,0.8220481253497481,0.8432203389830508,0.8504,13.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
12,0.05054730191053349,0.050799855336453766,0.12050568182616546,0.8206587664458337,0.8593220338983051,0.8527,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
13,0.0515175767613859,0.04968142721727491,0.11517598769907812,0.8291499486796678,0.8635593220338983,0.8582,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
14,0.05084333210074643,0.04796574559151195,0.11198534369942016,0.8360227590709822,0.8711864406779661,0.8607,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
15,0.048491325630348615,0.04682348722689785,0.10912340283409087,0.840421563141205,0.8610169491525423,0.8638,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
16,0.045948438673138116,0.04667109582601115,0.10843616546495312,0.8417172188520765,0.8703389830508474,0.8668,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
17,0.05015058847207387,0.04533911916059442,0.10443438215923506,0.8481626562208543,0.8576271186440678,0.8701,12.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
18,0.04447418391878196,0.044531614051340145,0.10244692537689738,0.8500653106922933,0.8745762711864407,0.8729,11.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
19,0.043169830533502214,0.043977690999489276,0.10093067740220361,0.8522801454816749,0.8822033898305085,0.8736,11.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
20,0.0470866341976512,0.043336613565683364,0.09706164024340745,0.8560768585020054,0.8796610169491526,0.8764,11.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
21,0.04609101441515199,0.04286487883916125,0.09554015595383403,0.8620335820895523,0.8720338983050847,0.8765,11.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
22,0.045757368679347814,0.04269739054804668,0.09202887898327368,0.8640179071068831,0.8822033898305085,0.8776,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
23,0.04794439158828582,0.04219673093487509,0.09622566541542098,0.8587291219557712,0.8720338983050847,0.879,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
24,0.047742182003744575,0.041427636012109,0.09502754718357077,0.8614480313491323,0.864406779661017,0.8812,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
25,0.04100424768797801,0.041040528961177915,0.09306819905909612,0.8621429904797461,0.8889830508474577,0.8836,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
26,0.049493493818898955,0.040960018430603665,0.0896171148996785,0.871536523929471,0.8677966101694915,0.8829,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
27,0.04421224477266798,0.04021215025961865,0.0832449773909158,0.8786720134290776,0.8788135593220339,0.8847,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
28,0.04169920969328259,0.04010306903682649,0.09002488518672358,0.8673012318029115,0.888135593220339,0.8855,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
29,0.04336611005651244,0.03931510529024526,0.08645493130654439,0.8714792016414848,0.8754237288135593,0.8883,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
30,0.04103417613512,0.03895481533294078,0.08431282112185307,0.8793730758466275,0.8949152542372881,0.8884,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
31,0.04035712789381081,0.0386690561986994,0.08389829317737517,0.875081630749137,0.8864406779661017,0.8884,12.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
32,0.03928739164729743,0.038313619032502175,0.08228250270878532,0.8783468607146189,0.8983050847457628,0.892,11.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
33,0.041016365880821436,0.03811448557348922,0.0813937078369178,0.8760145535964176,0.8983050847457628,0.8901,11.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
34,0.040253926324263466,0.037879508712282406,0.08290027029878923,0.8779759126132014,0.8991525423728813,0.891,11.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
35,0.03994839032372002,0.03773680004744092,0.07957550958385526,0.8821938252028728,0.8872881355932203,0.8918,11.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
36,0.03570585113760652,0.03761971220341511,0.08253586611482869,0.8753031150904682,0.9059322033898305,0.8928,11.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
37,0.03692122417713231,0.037193510375614275,0.07857009753522151,0.8844825977419054,0.8949152542372881,0.8946,11.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
38,0.04018721976593705,0.036959016440808776,0.07960691244342372,0.8823858863063567,0.8991525423728813,0.8932,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
39,0.03522644860835714,0.03671826682363171,0.0743158514962803,0.887209627763784,0.9135593220338983,0.8937,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
40,0.037805880429516686,0.03652993872438092,0.07769402563257496,0.8840701361686253,0.9033898305084745,0.8949,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
41,0.03957402108610071,0.036322304816520774,0.07662187730393896,0.8866903117416465,0.8915254237288136,0.8959,12.0,0.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
42,0.03701849684417169,0.03641527318267617,0.07457491255669875,0.8876656092554581,0.9016949152542373,0.8956,12.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
43,0.03682222555616429,0.03598920128087048,0.0742365352113145,0.8876142510725611,0.8966101694915254,0.8949,11.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
44,0.03883014678603859,0.0362723813634715,0.07355407696704498,0.8896352271667133,0.888135593220339,0.8939,11.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
